Household ID,Household Type,Person ID,Age,Sex,Position in Household,Tags
21,family,88,31,0,parent,
21,family,89,27,1,parent,
21,family,90,6,1,child,
22,family,91,47,0,parent,
22,family,92,50,1,parent,
22,family,93,12,0,child,
22,family,94,11,0,child,
22,family,95,15,0,child,
23,family,96,30,0,parent,
23,family,97,25,1,parent,
23,family,98,6,0,child,
23,family,99,3,1,child,
24,family,100,36,0,parent,
24,family,101,44,1,parent,
24,family,102,6,0,child,
25,family,103,48,0,parent,
25,family,104,46,1,parent,
25,family,105,17,0,child,
25,family,106,14,1,child,
26,family,107,35,0,parent,
26,family,108,42,1,parent,
26,family,109,6,1,child,
26,family,110,8,1,child,
27,family,111,36,0,parent,
27,family,112,35,1,parent,
27,family,113,8,1,child,
27,family,114,5,0,child,
27,family,115,10,0,child,
28,family,116,28,0,parent,
28,family,117,27,1,parent,
28,family,118,4,1,child,
28,family,119,7,0,child,
28,family,120,6,0,child,
29,family,121,54,0,parent,
29,family,122,49,1,parent,
29,family,123,16,0,child,
30,family,124,35,0,parent,
30,family,125,37,1,parent,
30,family,126,0,0,child,
30,family,127,1,1,child,
30,family,128,0,0,child,
31,family,129,45,0,parent,
31,family,130,50,1,parent,
31,family,131,11,0,child,
31,family,132,16,1,child,
31,family,133,14,1,child,
32,family,134,51,0,parent,
32,family,135,45,1,parent,
32,family,136,11,0,child,
32,family,137,13,1,child,
33,family,138,57,0,parent,
33,family,139,55,1,parent,
33,family,140,9,0,child,
33,family,141,6,0,child,
33,family,142,12,0,child,
33,family,20670,87,0,grandparent,
33,family,20671,86,1,grandparent,
34,family,143,43,0,parent,
34,family,144,39,1,parent,
34,family,145,10,1,child,
35,family,146,29,0,parent,
35,family,147,32,1,parent,
35,family,148,8,1,child,
35,family,149,8,1,child,
35,family,21798,49,1,grandparent,
35,family,21799,61,1,grandparent,
36,family,150,47,0,parent,
36,family,151,54,1,parent,
36,family,152,3,0,child,
36,family,153,0,0,child,
36,family,154,2,0,child,
37,family,155,42,0,parent,
37,family,156,38,1,parent,
37,family,157,13,1,child,
37,family,158,15,1,child,
38,family,159,42,0,parent,
38,family,160,42,1,parent,
38,family,161,0,1,child,
38,family,162,0,0,child,
39,family,163,41,0,parent,
39,family,164,40,1,parent,
39,family,165,4,1,child,
40,family,166,17,0,parent,
40,family,167,22,1,parent,
40,family,168,2,0,child,
41,family,169,44,0,parent,
41,family,170,38,1,parent,
41,family,171,11,1,child,
41,family,172,8,0,child,
42,family,173,37,0,parent,
42,family,174,36,1,parent,
42,family,175,6,0,child,
43,family,176,42,0,parent,
43,family,177,41,1,parent,
43,family,178,0,0,child,
44,family,179,57,0,parent,
44,family,180,58,1,parent,
44,family,181,11,1,child,
45,family,182,61,0,parent,
45,family,183,56,1,parent,
45,family,184,17,0,child,
46,family,185,40,0,parent,
46,family,186,35,1,parent,
46,family,187,12,1,child,
47,family,188,46,0,parent,
47,family,189,50,1,parent,
47,family,190,15,0,child,
47,family,191,12,0,child,
47,family,20905,74,0,grandparent,
48,family,192,63,0,parent,
48,family,193,57,1,parent,
48,family,194,13,1,child,
48,family,195,14,1,child,
48,family,21333,82,0,grandparent,
49,family,196,62,0,parent,
49,family,197,58,1,parent,
49,family,198,9,0,child,
49,family,199,6,1,child,
49,family,200,12,0,child,
49,family,201,13,0,child,
49,family,202,7,0,child,
50,family,203,36,0,parent,
50,family,204,42,1,parent,
50,family,205,2,1,child,
50,family,206,5,0,child,
50,family,20659,61,0,grandparent,
50,family,20660,74,0,grandparent,
51,family,207,37,0,parent,
51,family,208,42,1,parent,
51,family,209,0,1,child,
51,family,210,1,0,child,
51,family,211,4,1,child,
52,family,212,39,0,parent,
52,family,213,44,1,parent,
52,family,214,9,1,child,
53,family,215,46,0,parent,
53,family,216,51,1,parent,
53,family,217,10,0,child,
53,family,218,5,0,child,
53,family,219,13,1,child,
53,family,220,7,1,child,
53,family,221,12,1,child,
54,family,222,30,0,parent,
54,family,223,34,1,parent,
54,family,224,2,1,child,
54,family,225,1,0,child,
54,family,21304,57,0,grandparent,
55,family,226,42,0,parent,
55,family,227,44,1,parent,
55,family,228,7,0,child,
55,family,229,6,0,child,
56,family,230,39,0,parent,
56,family,231,38,1,parent,
56,family,232,4,0,child,
56,family,233,7,1,child,
57,family,234,34,0,parent,
57,family,235,30,1,parent,
57,family,236,0,0,child,
57,family,237,2,0,child,
58,family,238,30,0,parent,
58,family,239,33,1,parent,
58,family,240,13,1,child,
58,family,241,12,0,child,
58,family,21157,64,1,grandparent,
58,family,21158,67,1,grandparent,
59,family,242,42,0,parent,
59,family,243,36,1,parent,
59,family,244,8,0,child,
60,family,245,26,0,parent,
60,family,246,34,1,parent,
60,family,247,8,0,child,
60,family,248,10,0,child,
61,family,249,28,0,parent,
61,family,250,29,1,parent,
61,family,251,6,1,child,
62,family,252,29,0,parent,
62,family,253,26,1,parent,
62,family,254,3,0,child,
62,family,255,0,1,child,
63,family,256,46,0,parent,
63,family,257,49,1,parent,
63,family,258,4,0,child,
63,family,259,6,1,child,
63,family,260,0,1,child,
63,family,261,1,1,child,
64,family,262,36,0,parent,
64,family,263,44,1,parent,
64,family,264,1,0,child,
64,family,265,0,0,child,
64,family,266,0,0,child,
65,family,267,37,0,parent,
65,family,268,42,1,parent,
65,family,269,1,0,child,
65,family,270,4,1,child,
66,family,271,64,0,parent,
66,family,272,59,1,parent,
66,family,273,11,1,child,
67,family,274,49,0,parent,
67,family,275,49,1,parent,
67,family,276,3,0,child,
67,family,277,1,0,child,
67,family,278,0,0,child,
68,family,279,59,0,parent,
68,family,280,62,1,parent,
68,family,281,16,1,child,
68,family,21149,85,1,grandparent,
69,family,282,47,0,parent,
69,family,283,49,1,parent,
69,family,284,13,1,child,
70,family,285,50,0,parent,
70,family,286,52,1,parent,
70,family,287,7,1,child,
71,family,288,25,0,parent,
71,family,289,32,1,parent,
71,family,290,5,0,child,
72,family,291,62,0,parent,
72,family,292,61,1,parent,
72,family,293,11,1,child,
72,family,294,14,1,child,
72,family,295,9,1,child,
73,family,296,43,0,parent,
73,family,297,39,1,parent,
73,family,298,11,1,child,
73,family,299,14,1,child,
73,family,21348,69,1,grandparent,
73,family,21349,82,0,grandparent,
74,family,300,40,0,parent,
74,family,301,39,1,parent,
74,family,302,15,1,child,
75,family,303,52,0,parent,
75,family,304,54,1,parent,
75,family,305,8,0,child,
75,family,306,7,0,child,
75,family,307,5,0,child,
76,family,308,25,0,parent,
76,family,309,27,1,parent,
76,family,310,10,1,child,
77,family,311,31,0,parent,
77,family,312,32,1,parent,
77,family,313,12,0,child,
77,family,314,15,0,child,
78,family,315,28,0,parent,
78,family,316,33,1,parent,
78,family,317,2,1,child,
78,family,318,3,1,child,
78,family,319,4,0,child,
78,family,20619,56,1,grandparent,
78,family,20620,51,0,grandparent,
79,family,320,48,0,parent,
79,family,321,52,1,parent,
79,family,322,10,0,child,
80,family,323,30,0,parent,
80,family,324,28,1,parent,
80,family,325,5,0,child,
80,family,21505,46,1,grandparent,
81,family,326,40,0,parent,
81,family,327,42,1,parent,
81,family,328,2,1,child,
81,family,329,4,1,child,
81,family,21261,61,0,grandparent,
82,family,330,51,0,parent,
82,family,331,47,1,parent,
82,family,332,14,0,child,
83,family,333,47,0,parent,
83,family,334,52,1,parent,
83,family,335,5,0,child,
83,family,336,2,1,child,
83,family,337,7,1,child,
84,family,338,59,0,parent,
84,family,339,55,1,parent,
84,family,340,5,0,child,
84,family,341,3,1,child,
85,family,342,38,0,parent,
85,family,343,41,1,parent,
85,family,344,13,1,child,
85,family,345,11,0,child,
86,family,346,54,0,parent,
86,family,347,52,1,parent,
86,family,348,9,0,child,
87,family,349,39,0,parent,
87,family,350,35,1,parent,
87,family,351,3,0,child,
87,family,352,1,0,child,
88,family,353,26,0,parent,
88,family,354,27,1,parent,
88,family,355,8,0,child,
89,family,356,37,0,parent,
89,family,357,42,1,parent,
89,family,358,0,0,child,
89,family,359,2,0,child,
90,family,360,39,0,parent,
90,family,361,43,1,parent,
90,family,362,13,0,child,
91,family,363,25,0,parent,
91,family,364,28,1,parent,
91,family,365,6,1,child,
91,family,366,4,1,child,
91,family,367,5,1,child,
91,family,20616,63,0,grandparent,
92,family,368,47,0,parent,
92,family,369,46,1,parent,
92,family,370,14,1,child,
92,family,371,13,0,child,
92,family,372,14,1,child,
92,family,21301,64,0,grandparent,
92,family,21302,72,0,grandparent,
93,family,373,48,0,parent,
93,family,374,48,1,parent,
93,family,375,15,1,child,
94,family,376,36,0,parent,
94,family,377,43,1,parent,
94,family,378,16,1,child,
94,family,379,14,0,child,
95,family,380,54,0,parent,
95,family,381,47,1,parent,
95,family,382,0,0,child,
95,family,383,0,1,child,
95,family,384,0,0,child,
95,family,385,2,0,child,
96,family,386,57,0,parent,
96,family,387,62,1,parent,
96,family,388,12,0,child,
96,family,389,11,0,child,
96,family,21060,83,1,grandparent,
97,family,390,53,0,parent,
97,family,391,47,1,parent,
97,family,392,13,1,child,
97,family,393,11,0,child,
97,family,394,10,1,child,
98,family,395,39,0,parent,
98,family,396,38,1,parent,
98,family,397,2,0,child,
98,family,398,3,0,child,
98,family,399,1,0,child,
99,family,400,27,0,parent,
99,family,401,33,1,parent,
99,family,402,8,0,child,
100,family,403,39,0,parent,
100,family,404,44,1,parent,
100,family,405,12,0,child,
100,family,406,13,0,child,
101,family,407,63,0,parent,
101,family,408,57,1,parent,
101,family,409,8,1,child,
101,family,410,11,0,child,
101,family,411,10,0,child,
102,family,412,57,0,parent,
102,family,413,55,1,parent,
102,family,414,4,1,child,
102,family,415,6,0,child,
103,family,416,40,0,parent,
103,family,417,44,1,parent,
103,family,418,17,1,child,
103,family,419,14,1,child,
103,family,21864,80,0,grandparent,
103,family,21865,71,1,grandparent,
104,family,420,43,0,parent,
104,family,421,42,1,parent,
104,family,422,6,0,child,
104,family,423,4,1,child,
104,family,21066,78,0,grandparent,
104,family,21067,65,0,grandparent,
105,family,424,42,0,parent,
105,family,425,43,1,parent,
105,family,426,16,0,child,
106,family,427,35,0,parent,
106,family,428,44,1,parent,
106,family,429,0,0,child,
106,family,430,0,1,child,
106,family,431,0,1,child,
106,family,432,3,0,child,
106,family,433,6,0,child,
106,family,434,2,0,child,
106,family,435,0,1,child,
107,family,436,27,0,parent,
107,family,437,27,1,parent,
107,family,438,4,0,child,
108,family,439,40,0,parent,
108,family,440,36,1,parent,
108,family,441,6,0,child,
108,family,442,5,1,child,
109,family,443,25,0,parent,
109,family,444,33,1,parent,
109,family,445,7,1,child,
109,family,446,10,1,child,
110,family,447,40,0,parent,
110,family,448,40,1,parent,
110,family,449,13,0,child,
110,family,21595,79,1,grandparent,
110,family,21596,67,1,grandparent,
111,family,450,26,0,parent,
111,family,451,30,1,parent,
111,family,452,0,1,child,
111,family,453,0,0,child,
111,family,454,0,0,child,
112,family,455,38,0,parent,
112,family,456,41,1,parent,
112,family,457,14,1,child,
112,family,458,13,1,child,
113,family,459,43,0,parent,
113,family,460,37,1,parent,
113,family,461,6,1,child,
113,family,462,3,0,child,
113,family,463,8,1,child,
114,family,464,44,0,parent,
114,family,465,38,1,parent,
114,family,466,11,0,child,
114,family,467,8,1,child,
115,family,468,39,0,parent,
115,family,469,38,1,parent,
115,family,470,17,1,child,
116,family,471,44,0,parent,
116,family,472,38,1,parent,
116,family,473,11,0,child,
117,family,474,44,0,parent,
117,family,475,42,1,parent,
117,family,476,13,1,child,
118,family,477,28,0,parent,
118,family,478,34,1,parent,
118,family,479,9,1,child,
119,family,480,31,0,parent,
119,family,481,34,1,parent,
119,family,482,9,1,child,
119,family,483,6,0,child,
119,family,484,4,1,child,
120,family,485,42,0,parent,
120,family,486,36,1,parent,
120,family,487,4,1,child,
121,family,488,35,0,parent,
121,family,489,43,1,parent,
121,family,490,6,0,child,
121,family,491,3,0,child,
122,family,492,31,0,parent,
122,family,493,25,1,parent,
122,family,494,8,0,child,
123,family,495,46,0,parent,
123,family,496,46,1,parent,
123,family,497,14,0,child,
124,family,498,55,0,parent,
124,family,499,55,1,parent,
124,family,500,17,1,child,
124,family,501,16,1,child,
125,family,502,26,0,parent,
125,family,503,33,1,parent,
125,family,504,1,0,child,
125,family,505,0,0,child,
125,family,21710,54,1,grandparent,
125,family,21711,44,0,grandparent,
126,family,506,53,0,parent,
126,family,507,52,1,parent,
126,family,508,2,1,child,
126,family,509,1,0,child,
127,family,510,29,0,parent,
127,family,511,34,1,parent,
127,family,512,9,0,child,
128,family,513,31,0,parent,
128,family,514,27,1,parent,
128,family,515,0,0,child,
129,family,516,25,0,parent,
129,family,517,27,1,parent,
129,family,518,7,1,child,
129,family,519,9,1,child,
130,family,520,50,0,parent,
130,family,521,49,1,parent,
130,family,522,10,0,child,
131,family,523,43,0,parent,
131,family,524,42,1,parent,
131,family,525,17,0,child,
132,family,526,43,0,parent,
132,family,527,44,1,parent,
132,family,528,5,1,child,
132,family,529,4,1,child,
133,family,530,47,0,parent,
133,family,531,52,1,parent,
133,family,532,9,0,child,
133,family,533,12,0,child,
133,family,534,13,1,child,
134,family,535,38,0,parent,
134,family,536,38,1,parent,
134,family,537,9,0,child,
134,family,538,11,0,child,
135,family,539,43,0,parent,
135,family,540,41,1,parent,
135,family,541,1,0,child,
135,family,542,0,1,child,
135,family,543,0,1,child,
136,family,544,47,0,parent,
136,family,545,50,1,parent,
136,family,546,14,0,child,
137,family,547,46,0,parent,
137,family,548,54,1,parent,
137,family,549,8,1,child,
137,family,550,13,0,child,
137,family,551,11,1,child,
137,family,552,16,1,child,
138,family,553,49,0,parent,
138,family,554,45,1,parent,
138,family,555,2,1,child,
138,family,556,0,1,child,
138,family,557,3,0,child,
139,family,558,50,0,parent,
139,family,559,53,1,parent,
139,family,560,3,0,child,
139,family,561,1,0,child,
140,family,562,36,0,parent,
140,family,563,37,1,parent,
140,family,564,10,1,child,
141,family,565,43,0,parent,
141,family,566,42,1,parent,
141,family,567,13,0,child,
141,family,568,9,0,child,
141,family,569,11,0,child,
141,family,570,7,1,child,
141,family,571,10,0,child,
142,family,572,28,0,parent,
142,family,573,30,1,parent,
142,family,574,7,0,child,
142,family,575,7,1,child,
142,family,20679,65,1,grandparent,
142,family,20680,51,0,grandparent,
143,family,576,46,0,parent,
143,family,577,51,1,parent,
143,family,578,3,0,child,
143,family,579,0,0,child,
144,family,580,53,0,parent,
144,family,581,46,1,parent,
144,family,582,11,0,child,
144,family,583,10,0,child,
145,family,584,44,0,parent,
145,family,585,38,1,parent,
145,family,586,2,0,child,
145,family,587,0,1,child,
145,family,588,0,1,child,
145,family,589,0,1,child,
145,family,21221,72,0,grandparent,
145,family,21222,73,1,grandparent,
146,family,590,49,0,parent,
146,family,591,45,1,parent,
146,family,592,0,0,child,
146,family,593,1,0,child,
146,family,594,0,0,child,
146,family,595,0,0,child,
146,family,596,0,1,child,
147,family,597,48,0,parent,
147,family,598,54,1,parent,
147,family,599,11,0,child,
148,family,600,38,0,parent,
148,family,601,43,1,parent,
148,family,602,16,0,child,
149,family,603,36,0,parent,
149,family,604,35,1,parent,
149,family,605,3,0,child,
149,family,606,3,1,child,
149,family,607,0,1,child,
150,family,608,40,0,parent,
150,family,609,41,1,parent,
150,family,610,12,1,child,
150,family,611,10,1,child,
151,family,612,37,0,parent,
151,family,613,44,1,parent,
151,family,614,13,1,child,
152,family,615,43,0,parent,
152,family,616,44,1,parent,
152,family,617,16,1,child,
152,family,618,17,1,child,
153,family,619,42,0,parent,
153,family,620,43,1,parent,
153,family,621,7,0,child,
153,family,622,4,0,child,
153,family,623,2,0,child,
154,family,624,39,0,parent,
154,family,625,40,1,parent,
154,family,626,15,1,child,
154,family,21174,67,1,grandparent,
154,family,21175,57,1,grandparent,
155,family,627,29,0,parent,
155,family,628,33,1,parent,
155,family,629,6,1,child,
156,family,630,34,0,parent,
156,family,631,25,1,parent,
156,family,632,8,0,child,
157,family,633,47,0,parent,
157,family,634,48,1,parent,
157,family,635,11,0,child,
158,family,636,57,0,parent,
158,family,637,55,1,parent,
158,family,638,10,0,child,
159,family,639,40,0,parent,
159,family,640,43,1,parent,
159,family,641,8,0,child,
160,family,642,35,0,parent,
160,family,643,35,1,parent,
160,family,644,0,0,child,
160,family,645,0,0,child,
160,family,646,2,0,child,
160,family,647,8,1,child,
160,family,648,3,1,child,
160,family,649,0,0,child,
160,family,650,1,0,child,
160,family,651,5,1,child,
161,family,652,42,0,parent,
161,family,653,44,1,parent,
161,family,654,16,0,child,
162,family,655,35,0,parent,
162,family,656,44,1,parent,
162,family,657,5,1,child,
162,family,658,2,1,child,
162,family,659,3,0,child,
163,family,660,33,0,parent,
163,family,661,27,1,parent,
163,family,662,12,0,child,
164,family,663,45,0,parent,
164,family,664,48,1,parent,
164,family,665,0,1,child,
164,family,666,3,1,child,
164,family,667,5,1,child,
165,family,668,53,0,parent,
165,family,669,47,1,parent,
165,family,670,2,1,child,
166,family,671,39,0,parent,
166,family,672,44,1,parent,
166,family,673,3,1,child,
166,family,20904,67,0,grandparent,
167,family,674,43,0,parent,
167,family,675,41,1,parent,
167,family,676,8,1,child,
168,family,677,49,0,parent,
168,family,678,46,1,parent,
168,family,679,0,0,child,
168,family,680,0,1,child,
169,family,681,47,0,parent,
169,family,682,52,1,parent,
169,family,683,14,0,child,
170,family,684,27,0,parent,
170,family,685,30,1,parent,
170,family,686,1,1,child,
171,family,687,36,0,parent,
171,family,688,44,1,parent,
171,family,689,4,0,child,
171,family,690,6,0,child,
171,family,691,0,0,child,
171,family,692,0,0,child,
171,family,693,0,0,child,
171,family,694,0,0,child,
171,family,695,3,0,child,
171,family,696,0,0,child,
172,family,697,61,0,parent,
172,family,698,59,1,parent,
172,family,699,10,1,child,
172,family,700,8,0,child,
173,family,701,47,0,parent,
173,family,702,45,1,parent,
173,family,703,12,0,child,
173,family,704,10,1,child,
174,family,705,38,0,parent,
174,family,706,43,1,parent,
174,family,707,14,0,child,
174,family,708,17,1,child,
175,family,709,42,0,parent,
175,family,710,38,1,parent,
175,family,711,0,1,child,
175,family,712,1,1,child,
176,family,713,47,0,parent,
176,family,714,46,1,parent,
176,family,715,0,1,child,
176,family,716,0,1,child,
176,family,717,1,0,child,
176,family,21674,80,0,grandparent,
177,family,718,43,0,parent,
177,family,719,35,1,parent,
177,family,720,9,1,child,
177,family,721,7,1,child,
178,family,722,40,0,parent,
178,family,723,36,1,parent,
178,family,724,16,0,child,
178,family,725,17,0,child,
179,family,726,25,0,parent,
179,family,727,26,1,parent,
179,family,728,4,1,child,
179,family,21823,50,0,grandparent,
180,family,729,42,0,parent,
180,family,730,43,1,parent,
180,family,731,0,1,child,
180,family,732,1,1,child,
181,family,733,48,0,parent,
181,family,734,46,1,parent,
181,family,735,12,1,child,
182,family,736,37,0,parent,
182,family,737,38,1,parent,
182,family,738,9,0,child,
183,family,739,56,0,parent,
183,family,740,56,1,parent,
183,family,741,16,1,child,
184,family,742,42,0,parent,
184,family,743,40,1,parent,
184,family,744,5,1,child,
185,family,745,46,0,parent,
185,family,746,47,1,parent,
185,family,747,13,0,child,
186,family,748,35,0,parent,
186,family,749,35,1,parent,
186,family,750,10,0,child,
187,family,751,41,0,parent,
187,family,752,42,1,parent,
187,family,753,4,1,child,
188,family,754,38,0,parent,
188,family,755,41,1,parent,
188,family,756,0,1,child,
188,family,757,1,0,child,
189,family,758,38,0,parent,
189,family,759,44,1,parent,
189,family,760,2,1,child,
190,family,761,40,0,parent,
190,family,762,44,1,parent,
190,family,763,7,0,child,
190,family,764,5,0,child,
190,family,765,3,1,child,
191,family,766,37,0,parent,
191,family,767,38,1,parent,
191,family,768,6,1,child,
192,family,769,48,0,parent,
192,family,770,51,1,parent,
192,family,771,6,1,child,
193,family,772,48,0,parent,
193,family,773,50,1,parent,
193,family,774,8,1,child,
194,family,775,37,0,parent,
194,family,776,44,1,parent,
194,family,777,8,1,child,
194,family,20788,70,0,grandparent,
195,family,778,30,0,parent,
195,family,779,28,1,parent,
195,family,780,10,1,child,
196,family,781,28,0,parent,
196,family,782,32,1,parent,
196,family,783,6,0,child,
196,family,784,6,1,child,
196,family,785,7,0,child,
196,family,786,5,0,child,
197,family,787,50,0,parent,
197,family,788,49,1,parent,
197,family,789,8,1,child,
197,family,790,5,0,child,
198,family,791,43,0,parent,
198,family,792,42,1,parent,
198,family,793,6,1,child,
199,family,794,35,0,parent,
199,family,795,42,1,parent,
199,family,796,2,0,child,
200,family,797,38,0,parent,
200,family,798,40,1,parent,
200,family,799,15,1,child,
200,family,800,16,1,child,
200,family,21017,58,1,grandparent,
201,family,801,31,0,parent,
201,family,802,27,1,parent,
201,family,803,2,0,child,
201,family,804,4,1,child,
202,family,805,38,0,parent,
202,family,806,39,1,parent,
202,family,807,8,0,child,
202,family,808,7,0,child,
202,family,809,10,1,child,
203,family,810,39,0,parent,
203,family,811,39,1,parent,
203,family,812,10,0,child,
204,family,813,51,0,parent,
204,family,814,52,1,parent,
204,family,815,0,1,child,
204,family,816,1,0,child,
205,family,817,49,0,parent,
205,family,818,47,1,parent,
205,family,819,0,1,child,
205,family,820,1,1,child,
206,family,821,50,0,parent,
206,family,822,47,1,parent,
206,family,823,1,0,child,
207,family,824,27,0,parent,
207,family,825,27,1,parent,
207,family,826,8,0,child,
208,family,827,53,0,parent,
208,family,828,54,1,parent,
208,family,829,9,0,child,
208,family,830,12,1,child,
209,family,831,45,0,parent,
209,family,832,45,1,parent,
209,family,833,17,0,child,
210,family,834,47,0,parent,
210,family,835,48,1,parent,
210,family,836,11,1,child,
211,family,837,33,0,parent,
211,family,838,30,1,parent,
211,family,839,0,1,child,
211,family,21861,50,0,grandparent,
212,family,840,41,0,parent,
212,family,841,36,1,parent,
212,family,842,15,1,child,
213,family,843,41,0,parent,
213,family,844,37,1,parent,
213,family,845,10,0,child,
214,family,846,18,0,parent,
214,family,847,19,1,parent,
214,family,848,0,1,child,
214,family,849,3,0,child,
214,family,21275,44,0,grandparent,
214,family,21276,49,1,grandparent,
215,family,850,46,0,parent,
215,family,851,47,1,parent,
215,family,852,3,0,child,
215,family,853,2,1,child,
215,family,854,0,0,child,
215,family,21771,80,1,grandparent,
215,family,21772,66,1,grandparent,
216,family,855,38,0,parent,
216,family,856,42,1,parent,
216,family,857,13,1,child,
217,family,858,44,0,parent,
217,family,859,38,1,parent,
217,family,860,8,1,child,
217,family,861,10,0,child,
218,family,862,37,0,parent,
218,family,863,42,1,parent,
218,family,864,8,0,child,
219,family,865,34,0,parent,
219,family,866,27,1,parent,
219,family,867,11,1,child,
219,family,868,10,0,child,
220,family,869,31,0,parent,
220,family,870,29,1,parent,
220,family,871,2,0,child,
220,family,872,0,1,child,
221,family,873,26,0,parent,
221,family,874,26,1,parent,
221,family,875,9,1,child,
222,family,876,50,0,parent,
222,family,877,49,1,parent,
222,family,878,6,1,child,
222,family,879,9,1,child,
222,family,880,8,1,child,
223,family,881,48,0,parent,
223,family,882,47,1,parent,
223,family,883,7,1,child,
223,family,884,5,0,child,
224,family,885,51,0,parent,
224,family,886,46,1,parent,
224,family,887,3,1,child,
225,family,888,36,0,parent,
225,family,889,38,1,parent,
225,family,890,10,0,child,
225,family,891,11,0,child,
225,family,892,12,1,child,
225,family,893,8,1,child,
226,family,894,35,0,parent,
226,family,895,36,1,parent,
226,family,896,13,1,child,
226,family,897,15,1,child,
226,family,20718,59,1,grandparent,
226,family,20719,70,0,grandparent,
227,family,898,41,0,parent,
227,family,899,43,1,parent,
227,family,900,13,0,child,
227,family,901,13,0,child,
227,family,902,14,1,child,
227,family,903,17,1,child,
228,family,904,38,0,parent,
228,family,905,39,1,parent,
228,family,906,8,0,child,
228,family,907,5,0,child,
229,family,908,46,0,parent,
229,family,909,54,1,parent,
229,family,910,2,0,child,
230,family,911,35,0,parent,
230,family,912,41,1,parent,
230,family,913,15,1,child,
230,family,914,16,1,child,
231,family,915,64,0,parent,
231,family,916,64,1,parent,
231,family,917,16,0,child,
232,family,918,42,0,parent,
232,family,919,35,1,parent,
232,family,920,9,0,child,
232,family,921,12,0,child,
232,family,922,13,0,child,
233,family,923,26,0,parent,
233,family,924,26,1,parent,
233,family,925,2,1,child,
233,family,926,0,0,child,
234,family,927,30,0,parent,
234,family,928,28,1,parent,
234,family,929,11,0,child,
235,family,930,25,0,parent,
235,family,931,30,1,parent,
235,family,932,1,0,child,
236,family,933,39,0,parent,
236,family,934,40,1,parent,
236,family,935,6,0,child,
237,family,936,38,0,parent,
237,family,937,44,1,parent,
237,family,938,6,1,child,
237,family,939,5,1,child,
238,family,940,54,0,parent,
238,family,941,49,1,parent,
238,family,942,4,0,child,
239,family,943,31,0,parent,
239,family,944,31,1,parent,
239,family,945,7,1,child,
240,family,946,59,0,parent,
240,family,947,56,1,parent,
240,family,948,6,0,child,
241,family,949,53,0,parent,
241,family,950,48,1,parent,
241,family,951,10,1,child,
242,family,952,21,0,parent,
242,family,953,23,1,parent,
242,family,954,1,1,child,
242,family,21381,54,0,grandparent,
243,family,955,59,0,parent,
243,family,956,61,1,parent,
243,family,957,9,1,child,
243,family,958,10,1,child,
244,family,959,36,0,parent,
244,family,960,38,1,parent,
244,family,961,11,1,child,
245,family,962,47,0,parent,
245,family,963,54,1,parent,
245,family,964,0,1,child,
245,family,965,3,0,child,
245,family,966,6,0,child,
